Date,Target
2016-08-20,3422.0
2016-08-21,2724.0
2016-08-22,5028.0
2016-08-23,4889.0
2016-08-24,4819.0
2016-08-25,5727.0
2016-08-26,5727.0
2016-08-27,3143.0
2016-08-28,1886.0
2016-08-29,4958.0
2016-08-30,5796.0
2016-08-31,6006.0
2016-09-01,6285.0
2016-09-02,4609.0
2016-09-03,3492.0
2016-09-04,2235.0
2016-09-05,3212.0
2016-09-06,5936.0
2016-09-07,5377.0
2016-09-08,5098.0
2016-09-09,5936.0
2016-09-10,3771.0
2016-09-11,2374.0
2016-09-12,5308.0
2016-09-13,3911.0
2016-09-14,4400.0
2016-09-15,7472.0
2016-09-16,5587.0
2016-09-17,2724.0
2016-09-18,3422.0
2016-09-19,5517.0
2016-09-20,4470.0
2016-09-21,4679.0
2016-09-22,6285.0
2016-09-23,5936.0
2016-09-24,2933.0
2016-09-25,2305.0
2016-09-26,6006.0
2016-09-27,5098.0
2016-09-28,5238.0
2016-09-29,6076.0
2016-09-30,5168.0
2016-10-01,3073.0
2016-10-02,2514.0
2016-10-03,6006.0
2016-10-04,3981.0
2016-10-05,4749.0
2016-10-06,5238.0
2016-10-07,4889.0
2016-10-08,2584.0
2016-10-09,2514.0
2016-10-10,4819.0
2016-10-11,5098.0
2016-10-12,4889.0
2016-10-13,6146.0
2016-10-14,4400.0
2016-10-15,3212.0
2016-10-16,2095.0
2016-10-17,4819.0
2016-10-18,3981.0
2016-10-19,5308.0
2016-10-20,5168.0
2016-10-21,4051.0
2016-10-22,3003.0
2016-10-23,2514.0
2016-10-24,5028.0
2016-10-25,4260.0
2016-10-26,4539.0
2016-10-27,5098.0
2016-10-28,4749.0
2016-10-29,3282.0
2016-10-30,3352.0
2016-10-31,5238.0
2016-11-01,4749.0
2016-11-02,4889.0
2016-11-03,5168.0
2016-11-04,5238.0
2016-11-05,3073.0
2016-11-06,2793.0
2016-11-07,4889.0
2016-11-08,4400.0
2016-11-09,4470.0
2016-11-10,5657.0
2016-11-11,4609.0
2016-11-12,3771.0
2016-11-13,2724.0
2016-11-14,5936.0
2016-11-15,5447.0
2016-11-16,5098.0
2016-11-17,5727.0
2016-11-18,5098.0
2016-11-19,2654.0
2016-11-20,2654.0
2016-11-21,5517.0
2016-11-22,5866.0
2016-11-23,4679.0
2016-11-24,2165.0
2016-11-25,4539.0
2016-11-26,3073.0
2016-11-27,2863.0
2016-11-28,5098.0
2016-11-29,5657.0
2016-11-30,7333.0
2016-12-01,6495.0
2016-12-02,4819.0
2016-12-03,3771.0
2016-12-04,2305.0
2016-12-05,5168.0
2016-12-06,4819.0
2016-12-07,5727.0
2016-12-08,5796.0
2016-12-09,5168.0
2016-12-10,3422.0
2016-12-11,3003.0
2016-12-12,6285.0
2016-12-13,6774.0
2016-12-14,6215.0
2016-12-15,6006.0
2016-12-16,5308.0
2016-12-17,4749.0
2016-12-18,3143.0
2016-12-19,5168.0
2016-12-20,5028.0
2016-12-21,4539.0
2016-12-22,6355.0
2016-12-23,4470.0
2016-12-24,2095.0
2016-12-25,2374.0
2016-12-26,4749.0
2016-12-27,5866.0
2016-12-28,7333.0
2016-12-29,6914.0
2016-12-30,5936.0
2016-12-31,3981.0
2017-01-01,3771.0
2017-01-02,5727.0
2017-01-03,7123.0
2017-01-04,5936.0
2017-01-05,7263.0
2017-01-06,5866.0
2017-01-07,3771.0
2017-01-08,3282.0
2017-01-09,5936.0
2017-01-10,6425.0
2017-01-11,7333.0
2017-01-12,6355.0
2017-01-13,6006.0
2017-01-14,4120.0
2017-01-15,4051.0
2017-01-16,6704.0
2017-01-17,6914.0
2017-01-18,5447.0
2017-01-19,8101.0
2017-01-20,5796.0
2017-01-21,4470.0
2017-01-22,2793.0
2017-01-23,5796.0
2017-01-24,5727.0
2017-01-25,5308.0
2017-01-26,6914.0
2017-01-27,6146.0
2017-01-28,3701.0
2017-01-29,3422.0
2017-01-30,6355.0
2017-01-31,6634.0
2017-02-01,7682.0
2017-02-02,7403.0
2017-02-03,6285.0
2017-02-04,4120.0
2017-02-05,3911.0
2017-02-06,5238.0
2017-02-07,6076.0
2017-02-08,6355.0
2017-02-09,6914.0
2017-02-10,5866.0
2017-02-11,3492.0
2017-02-12,3422.0
2017-02-13,6006.0
2017-02-14,5866.0
2017-02-15,6146.0
2017-02-16,6634.0
2017-02-17,5377.0
2017-02-18,4400.0
2017-02-19,3212.0
2017-02-20,5028.0
2017-02-21,5866.0
2017-02-22,8590.0
2017-02-23,7193.0
2017-02-24,5587.0
2017-02-25,3422.0
2017-02-26,3701.0
2017-02-27,6146.0
2017-02-28,7403.0
2017-03-01,7053.0
2017-03-02,6076.0
2017-03-03,6495.0
2017-03-04,3701.0
2017-03-05,2654.0
2017-03-06,5657.0
2017-03-07,4679.0
2017-03-08,6076.0
2017-03-09,5447.0
2017-03-10,5517.0
2017-03-11,4470.0
2017-03-12,2793.0
2017-03-13,4889.0
2017-03-14,5238.0
2017-03-15,5936.0
2017-03-16,4400.0
2017-03-17,4539.0
2017-03-18,3143.0
2017-03-19,2654.0
2017-03-20,5168.0
2017-03-21,5447.0
2017-03-22,5727.0
2017-03-23,6355.0
2017-03-24,5866.0
2017-03-25,3492.0
2017-03-26,2863.0
2017-03-27,6844.0
2017-03-28,8031.0
2017-03-29,7891.0
2017-03-30,6146.0
2017-03-31,5796.0
2017-04-01,3492.0
2017-04-02,3562.0
2017-04-03,6774.0
2017-04-04,4958.0
2017-04-05,4958.0
2017-04-06,5657.0
2017-04-07,4819.0
2017-04-08,2793.0
2017-04-09,1886.0
2017-04-10,4190.0
2017-04-11,4749.0
2017-04-12,5028.0
2017-04-13,5727.0
2017-04-14,4889.0
2017-04-15,3003.0
2017-04-16,1955.0
2017-04-17,5866.0
2017-04-18,5517.0
2017-04-19,5168.0
2017-04-20,5028.0
2017-04-21,4749.0
